date,new_cases,new_deaths,new_tests,new_vaccinations,hosp_patients,icu_patients,stringency_index,reproduction_rate,total_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters
2020-09-06,214534.0,1826.0,7393890.9203442875,4764423.463497653,1414.1457070039282,243.96479262597057,48.02476949089495,1.1617195918367347,352029.0,15541294.0,2677971.0,0.0,0.0
2020-09-13,257679.0,2060.0,8058882.195596813,4764423.463497653,1469.4191763916835,256.5145798135729,47.127177654160256,1.2015791836734695,374663.0,17089685.0,2677971.0,0.0,0.0
2020-09-20,305258.0,2863.0,8448302.459749972,4764423.463497653,1554.194686595765,270.18273434811397,46.43183071538475,1.2548310204081634,400513.0,18708484.0,2677971.0,0.0,0.0
2020-09-27,331339.0,3267.0,8297978.903548422,4764423.463497653,1628.729380473316,288.5896643928591,45.36215724599699,1.2562893877551022,444906.0,20306688.0,2677971.0,0.0,0.0
2020-10-04,398443.0,3689.0,8270758.347346872,4764423.463497653,1706.4701967998467,307.2170026008696,45.29783071538475,1.2750465306122447,519016.0,21938435.0,2677971.0,0.0,0.0
2020-10-11,587939.0,4895.0,8959522.707811989,4764423.463497653,1867.2783600651528,324.2336861574091,45.711749082731686,1.3416934693877551,629530.0,23712557.0,2677971.0,0.0,0.0
2020-10-18,817023.0,6610.0,9989810.651610438,4764423.463497653,2206.059992718214,359.9964338538903,46.90991234803781,1.3687534693877552,749608.0,25608132.0,2677971.0,0.0,0.0
2020-10-25,1225304.0,10322.0,11102541.345408887,4764423.463497653,2827.611013126377,427.1761971877953,51.175136837833726,1.38542,901169.0,27603615.0,2677971.0,0.0,0.0
2020-11-01,1573485.0,16657.0,12056469.539207337,4764423.463497653,3707.9874652456865,532.6886360094778,55.6799123480378,1.3463791836734695,1055061.0,29501196.0,2677971.0,0.0,0.0
2020-11-08,1669030.0,23677.0,12011123.399672452,4764423.463497653,4587.922159123237,655.0619853492137,58.731953164364334,1.2259771428571429,1217321.0,31504688.0,2677971.0,0.0,0.0
2020-11-15,1568765.0,28400.0,11802378.26013757,4764423.463497653,5204.407904806126,739.4694948145383,60.48301438885413,1.1088902040816326,1392601.0,33696292.0,2677971.0,0.0,0.0
2020-11-22,1428695.0,32269.0,11502571.120602686,4764423.463497653,5458.622441697806,769.1936761793919,61.26142255211944,1.0497542857142856,1533714.0,35838674.0,2677971.0,0.0,0.0
2020-11-29,1212232.0,33148.0,11016019.481067803,4764423.463497653,5326.745707003928,752.9550687364147,62.12146336844597,1.0086102040816327,1639974.0,37784227.0,2677971.0,0.0,0.0
2020-12-06,1123497.0,33087.0,11088869.341532918,4764423.463497653,5086.6273396569895,716.3718994687076,62.847300103139844,1.003229387755102,1745164.0,39947104.0,2677971.0,0.0,0.0
2020-12-13,1171036.0,32840.0,11494405.401998036,4764427.463497653,4961.290604963112,693.2199907052023,62.69619806232352,1.016790612244898,1883652.0,42191444.0,2677971.0,0.0,0.0
2020-12-20,1272488.0,33255.0,13447545.11246315,4764473.463497653,4934.957951901887,688.4088982682275,63.814891939874535,1.0035383673469387,2101364.0,44701940.0,2677971.0,0.0,0.0
2020-12-27,1119705.0,29158.0,13212703.672928268,4766519.463497653,4859.978360065153,695.1651527700282,64.90330010313984,0.9682195918367347,2344433.0,47543427.0,2677971.0,0.0,0.0
2021-01-03,1268655.0,30521.0,11775709.069107668,5054751.6492119385,4919.66815598352,717.3418154350943,66.19705520518066,1.0079404081632652,2722151.0,50361648.0,2677971.0,0.0,0.0
2021-01-10,1495246.0,31747.0,13752061.358144214,6058159.5111167,5084.982441697805,739.9858250389358,66.43317765416026,1.0212232653061224,3144826.0,54102819.0,2677971.0,2286572.0,0.0
2021-01-17,1346450.0,34143.0,17933311.861466475,7516260.339813442,5289.153870269234,765.9808550509406,65.9609735725276,0.9303400000000001,3462707.0,57941401.0,4514802.0,4062501.0,0.0
2021-01-24,1187290.0,35163.0,17931946.757645875,8483544.134550285,5406.447747820254,789.0881299609046,65.86648377660924,0.9077126530612245,3708849.0,61888920.0,7044048.0,6573570.0,0.0
2021-01-31,1028625.0,32158.0,17715188.325253848,9251157.757357301,5314.606931493724,796.2443844627053,65.88097357252761,0.9301416326530613,3880724.0,66250691.0,9790576.0,9296367.0,0.0
2021-02-07,851078.0,27502.0,18491852.42936976,9844326.812495146,4997.574278432499,776.9475777400162,65.70232051130311,0.9503918367346939,4011625.0,70836926.0,12806587.0,12294006.0,0.0
2021-02-14,708261.0,22844.0,18384193.002533287,9815526.05998888,4534.842305643384,732.3446485683476,64.51052459293577,0.9708208163265306,4105639.0,74928155.0,15839781.0,15300151.0,0.0
2021-02-21,705866.0,18812.0,17689505.556649197,10130948.03367309,4110.89808795631,683.5066653750703,64.39627969497658,1.024713469387755,4185806.0,78472841.0,18348164.0,17723840.0,0.0
2021-02-28,790547.0,16629.0,18945353.4528286,10957923.257795898,3926.0967274120912,646.7555489284915,64.24725928681332,1.0791077551020407,4247290.0,82787128.0,21091268.0,20275452.0,0.0
2021-03-07,852322.0,15415.0,20941727.24559485,13054175.070748735,3983.6559110855605,635.2616713774711,64.79762663375209,1.0882179591836736,4288798.0,88437767.0,23519898.0,22377256.0,0.0
2021-03-14,970802.0,15828.0,25258523.874470957,13640943.266095055,4259.6844825141325,638.5922836223691,65.27313683783372,1.0995171428571429,4329114.0,97820887.0,26063500.0,24453220.0,0.0
2021-03-21,1141521.0,16934.0,26542683.90988969,13955626.538172977,4511.574278432499,657.9841203570629,64.63325928681331,1.1033971428571427,4367276.0,107515907.0,30279360.0,27997976.0,0.0
2021-03-28,1310790.0,18669.0,26069491.050571587,16905611.7111167,4852.084482514132,691.3943244386957,65.4216266337521,1.0786297959183673,4405263.0,115828717.0,34125256.0,30445284.0,0.0
2021-04-04,1265571.0,20443.0,23722968.704411373,16812756.318259556,5121.243666187602,730.2192223978793,66.19158581742556,1.0178151020408164,4432386.0,121784429.0,37013748.0,31581624.0,0.0
2021-04-11,1115245.0,21428.0,22652116.209128354,19730880.358735748,5301.700809044744,776.1306509693079,65.87627969497659,0.9732551020408163,4452716.0,127944479.0,39846780.0,32190576.0,0.0
2021-04-18,1072606.0,20744.0,23701738.54717867,21401646.894450035,5120.484482514132,788.118814234614,64.62313683783373,0.9460432653061224,4470052.0,134976845.0,43084490.0,32932448.0,0.0
2021-04-25,951831.0,19339.0,23705322.135228984,22528277.223021463,4769.953870269234,783.792283622369,62.57893275620107,0.9186171428571428,4486774.0,142413404.0,46650010.0,33752884.0,0.0
2021-05-02,788928.0,16482.0,21769442.35346798,25842980.868259557,4314.317135575357,756.2984060713487,61.69215724599699,0.8795371428571429,4501815.0,149071170.0,50097812.0,34595304.0,0.0
2021-05-09,629799.0,13235.0,22320975.814788733,27833734.284926224,3838.255911085561,703.888882261825,60.541749082731684,0.8526065306122449,4516283.0,156310679.0,53328844.0,35472296.0,0.0
2021-05-16,491175.0,10504.0,20435387.281455398,28171178.465878606,3288.8640743508668,624.8385421257705,57.59354500109903,0.8211159183673469,4531792.0,160381499.0,56992076.0,36704670.0,0.0
2021-05-23,409268.0,7914.0,21262899.084485702,28627460.177783366,2777.5457070039283,545.188201989716,55.51530010313984,0.7882077551020408,4548710.0,167202877.0,60965590.0,38070040.0,0.0
2021-05-30,299085.0,6147.0,19521558.77387964,27892913.796830986,2326.745707003928,470.89840607134875,53.382973572527604,0.763904081632653,4571090.0,173159379.0,64923228.0,39384056.0,0.0
2021-06-06,249806.0,4356.0,19665163.00115237,29776163.073497653,1995.7538702692345,396.0351407652263,52.48448377660924,0.7586134693877551,4604869.0,178784089.0,68381870.0,40460576.0,0.0
2021-06-13,198847.0,4097.0,18912372.978425097,31713717.486830987,1765.6908965083014,341.1479687535645,51.30138173579291,0.7433722448979593,4654848.0,185210034.0,71672210.0,41698428.0,0.0
2021-06-20,172984.0,2755.0,19017502.205697823,30299731.533973843,1577.9993513187972,296.99170053199015,50.555381735792906,0.7484261224489795,4721907.0,192018935.0,74577680.0,43127764.0,0.0
2021-06-27,202134.0,2494.0,18885975.18297055,29251710.151177492,1441.9060568581556,261.83309994889976,49.03930010313985,0.8325926530612244,4829385.0,199210518.0,77038260.0,44454510.0,0.0
2021-07-04,338291.0,2104.0,19712123.660243277,28710242.03768205,1361.7742784324998,238.16371219379772,45.72807561334393,0.9969865306122448,5004861.0,206791251.0,79078080.0,45351720.0,0.0
2021-07-11,523763.0,1538.0,20406015.387516007,27168203.805341624,1341.594686595765,226.62493668359363,43.67701438885413,1.1537673469387755,5230441.0,214408013.0,80795860.0,45923720.0,0.0
2021-07-18,741163.0,1265.0,21437324.364788733,26545796.493239295,1398.1048906773976,230.0698346427773,44.10909602150719,1.2242167346938777,5553715.0,222023033.0,82413770.0,46314040.0,0.0
2021-07-25,750156.0,1732.0,21262495.43314805,24922549.443994105,1510.1579519018876,245.33922239787935,43.84019806232352,1.2583836734693876,5810816.0,228930875.0,83876590.0,46589212.0,0.0
