,date,new_cases,new_deaths,new_tests,new_vaccinations,hosp_patients,icu_patients,stringency_index,reproduction_rate,total_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,lag_1,lag_2,lag_3,lag_7,lag_14,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,target_t_plus,date_t_plus
14,2022-01-09,162121.4,349.2,916453.5703949186,640466.1630108973,3452.360467695059,563.6160583873611,43.85808821556792,1.4262971428571427,2001410.5333333334,32402562.140360545,23592633.36757475,8485774.666666666,3724680.966666667,396.1333333333333,414.56666666666666,484.6333333333333,583.2,192.13333333333333,386.6333333333334,33.70293426065202,472.61428571428576,87.1888177869727,372.8,15.0
15,2022-01-16,188343.53333333333,372.8,977584.9438589708,644324.7207344746,3659.408086742678,551.8874869587897,42.97275488223458,1.3573866666666667,2189754.066666667,33408614.176868483,24204731.963875968,8546636.766666668,4125606.5,349.2,396.1333333333333,414.56666666666666,574.1,240.46666666666667,372.71111111111117,23.466792928954515,443.85714285714283,81.12343296274732,375.7,16.0
16,2022-01-23,245521.26666666666,375.7,997600.3310485133,510278.69797024695,3869.227134361726,530.0017726730755,41.7048025012822,1.3165742857142857,2435275.3333333335,34461668.41337642,24675663.719224807,8600216.1,4419849.4,372.8,349.2,396.1333333333333,556.8,279.46666666666664,365.8999999999999,14.535129858383163,417.9857142857142,66.69590152643013,396.06666666666666,17.0
17,2022-01-30,274045.73333333334,396.06666666666666,932244.7178739102,412101.5821165884,4191.203324837917,512.9970107683135,41.31956440604411,1.216778095238095,2709321.066666667,35457791.730836734,25042606.204761907,8598189.933333334,4735270.033333333,375.7,372.8,349.2,532.8666666666667,372.1333333333333,381.5222222222222,12.679043660631738,398.4428571428571,43.39625224595664,453.56666666666666,18.0
18,2022-02-06,243151.96666666667,453.56666666666666,818362.8513226836,333862.82494487124,4493.327134361725,513.4922488635517,39.39589773937744,1.0917333333333334,2952473.033333333,36341385.72250341,25313631.525714286,8544186.633333333,4744233.2,396.06666666666666,375.7,372.8,484.6333333333333,431.76666666666665,408.4444444444445,40.38206881131195,394.0047619047619,33.59406599150002,480.6333333333333,19.0
19,2022-02-13,190587.86666666667,480.6333333333333,641242.0742928615,291763.77262163896,4528.841420076012,508.8112964825993,37.973231072710774,0.9517333333333333,3143060.9,37067094.93242404,25533004.219047617,8460945.133333333,4896533.133333334,453.56666666666666,396.06666666666666,375.7,414.56666666666666,502.6,443.4222222222222,43.186370449398,403.4428571428571,46.95661399508683,472.9,20.0
20,2022-02-20,142818.46666666667,472.9,613842.0075299948,251612.667672144,4254.455176689768,484.9224075937104,34.94270726318697,0.8310309523809524,3285879.3666666667,37672708.41496372,25700708.764285717,7424884.8,5091676.633333334,480.6333333333333,453.56666666666666,396.06666666666666,396.1333333333333,542.2333333333333,469.0333333333333,13.94146493179552,414.4095238095238,53.47668136426788,399.43333333333334,21.0
21,2022-02-27,113436.33333333333,399.43333333333334,511814.71215962444,220672.81989436623,3799.888269522861,449.18092130222414,31.359850120329824,0.7886799999999999,3399315.7,38183421.203852616,25821781.242857143,8401856.633333333,5026570.933333334,472.9,480.6333333333333,453.56666666666666,349.2,583.2,450.9888888888889,44.815539632951364,421.58571428571435,46.13395895988285,330.4,22.0
22,2022-03-06,110220.43333333333,330.4,471223.3454929578,192509.63656103288,3318.7150131496046,410.14657786788064,29.228231072710777,0.8212338095238095,3509536.1333333333,38661964.494328804,25914825.306349207,6315175.933333334,3998629.5,399.43333333333334,472.9,480.6333333333333,372.8,574.1,400.9111111111111,71.26149290023625,415.5285714285714,55.44970503401957,281.73333333333335,23.0
23,2022-03-13,124540.43333333333,281.73333333333335,458997.4532480598,186996.15433881065,3027.90981834441,379.2195215908244,26.69942154890125,0.8795980952380952,3634076.566666667,39146782.870360546,26004779.050180376,6337945.766666667,4149310.566666667,330.4,399.43333333333334,472.9,375.7,556.8,337.18888888888887,59.14295612547043,402.1047619047619,74.72335503950406,262.8333333333333,24.0
