,date,new_cases,new_deaths,new_tests,new_vaccinations,hosp_patients,icu_patients,stringency_index,reproduction_rate,total_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters
0,2021-10-03,15468.7,192.13333333333333,429116.20728026435,268453.87544992176,2331.165229599821,361.76843933974214,39.06842154890125,1.0770614285714286,1205451.3666666667,23991802.310836736,17138286.050992064,7505129.766666667,86789.5
1,2021-10-10,17315.233333333334,240.46666666666667,415456.94183573243,314513.6425741048,2429.5128486474405,359.23986791117073,38.25370726318696,1.1082723809523811,1222766.6,24396236.730043087,17354776.918125,7014316.4,158695.66666666666
2,2021-10-17,19725.566666666666,279.46666666666664,421425.6230578673,265930.5582603793,2566.1557057902974,362.2208202921231,38.05165964413935,1.156062380952381,1242492.1666666667,24792800.642344672,17550928.375416666,7722367.666666667,198723.3
3,2021-10-24,26322.266666666666,372.1333333333333,415733.51494097617,299536.0510708368,2710.898562933154,374.29224886355166,38.292135834615536,1.22319,1268814.4333333333,25197446.4395669,17792589.306994047,7947275.866666666,270523.3
4,2021-10-31,31128.566666666666,431.76666666666665,408923.7412352547,351425.1098943662,2873.3961819807737,396.3644710857739,38.56223107271077,1.2229642857142857,1299943.0,25613036.339090705,18071852.719841268,6413509.866666666,306562.06666666665
5,2021-11-07,35351.333333333336,502.6,456795.12353217346,350300.53211658844,3035.5938010283926,431.59383616513895,38.602469167948875,1.2082819047619047,1335294.3333333333,26068053.669646263,18343865.687623046,7975549.966666667,472669.23333333334
6,2021-11-14,42619.6,542.2333333333333,517908.73392433027,406141.087672144,3151.45128402159,463.8048338975653,38.753421548901244,1.1602033333333333,1377913.9333333333,26590408.533217687,18687846.494731143,8131698.5,620651.7
7,2021-11-21,51607.53333333333,583.2,609078.1670942649,467236.7543388106,3230.110467695059,497.4058543057285,40.05199297747268,1.119760476190476,1429521.4666666666,27197248.881630387,19124399.54346622,7986804.766666667,785460.8666666667
8,2021-11-28,57782.6,574.1,637969.7141530885,584232.3376721439,3276.9553656542425,541.7351060064088,41.007992977472675,1.0771257142857142,1487304.0666666667,27844009.84670975,19688393.430614002,8035756.4,1151534.4666666666
9,2021-12-05,59710.6,556.8,652169.5706924314,673322.0706086518,3338.169991504583,580.3017726730756,42.03894535842506,1.0358723809523809,1547014.6666666667,28530940.96099547,20352703.419984,6810204.733333333,1329436.8
10,2021-12-12,56561.0,532.8666666666667,674570.634886897,754908.4452505412,3397.3890391236305,598.5208202921232,42.570135834615535,1.0143257142857143,1603575.6666666667,29210240.97290023,21174710.87228441,8166930.133333334,2147517.5
11,2021-12-19,55712.6,484.6333333333333,693994.6789154176,833503.7176179434,3372.184277218869,599.5398679111707,42.674992977472684,1.0330728571428571,1659288.2666666666,29923054.040360548,22033286.474566497,8133777.433333334,2668295.433333333
